,State,Area,LHS,HS,SC,BD
1111,KY,Owen County,16.5,47.7,24.4,11.3
1112,KY,Owsley County,29.8,37.8,15.0,17.4
1113,KY,Pendleton County,15.3,46.4,28.0,10.3
1114,KY,Perry County,25.1,33.7,27.2,14.0
1115,KY,Pike County,25.0,37.9,24.2,12.9
1116,KY,Powell County,22.8,41.8,21.3,14.1
1117,KY,Pulaski County,19.1,39.3,26.8,14.7
1118,KY,Robertson County,25.1,34.6,23.4,17.0
1119,KY,Rockcastle County,23.3,45.5,21.5,9.7
1120,KY,Rowan County,19.0,29.8,24.6,26.6
1121,KY,Russell County,26.3,35.1,25.9,12.7
1122,KY,Scott County,10.0,31.7,29.8,28.4
1123,KY,Shelby County,14.2,32.1,29.9,23.8
1124,KY,Simpson County,16.0,43.2,26.6,14.2
1125,KY,Spencer County,10.5,35.1,35.8,18.7
1126,KY,Taylor County,15.9,40.3,26.5,17.3
1127,KY,Todd County,23.1,41.3,23.9,11.7
1128,KY,Trigg County,15.8,30.8,35.4,18.0
1129,KY,Trimble County,16.8,46.1,25.5,11.6
1130,KY,Union County,15.1,39.9,32.9,12.2
1131,KY,Warren County,12.3,30.0,28.7,29.1
1132,KY,Washington County,17.8,42.5,24.9,14.8
1133,KY,Wayne County,29.2,39.2,22.3,9.3
1134,KY,Webster County,21.5,43.2,26.4,8.9
1135,KY,Whitley County,22.6,36.2,23.3,17.9
1136,KY,Wolfe County,30.5,39.3,18.4,11.8
1137,KY,Woodford County,11.9,28.0,28.2,31.9
1138,LA,Lousiana,16.2,33.9,27.0,23.0
1139,LA,Acadia Parish,24.5,40.4,24.0,11.1
1140,LA,Allen Parish,20.8,42.9,24.4,11.9
1141,LA,Ascension Parish,11.8,34.8,26.8,26.6
1142,LA,Assumption Parish,27.3,41.5,19.8,11.4
1143,LA,Avoyelles Parish,26.8,41.6,21.5,10.1
1144,LA,Beauregard Parish,15.5,41.3,26.8,16.3
1145,LA,Bienville Parish,17.1,41.6,28.4,13.0
1146,LA,Bossier Parish,11.8,28.6,33.6,26.0
1147,LA,Caddo Parish,13.9,32.8,29.5,23.8
1148,LA,Calcasieu Parish,14.6,34.6,30.3,20.6
